Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price_perf,Change_perf,Volume_perf,SCORE
FLG,Flagstar Bank NA,Financial,Banks - Regional,USA,5500000000.0,,13.22,-0.0236,10428398.0,0.024,0.045899999999999996,0.1466,0.1709,0.05,0.3771,-55.13%,-60.05%,-70.35%,0.0348,0.032,4890000.0,2.13,13.22,-0.0236,10428398.0,55
VLY,Valley National Bancorp,Financial,Banks - Regional,USA,6950000000.0,12.38,12.46,-0.0166,12930268.0,0.0462,0.0582,0.1369,0.34409999999999996,0.0668,0.2288,12.25%,14.00%,44.55%,0.03,0.0274,7460000.0,1.73,12.46,-0.0166,12930268.0,55
UUUU,Energy Fuels Inc,Energy,Uranium,USA,5320000000.0,,22.44,-0.0981,21888189.0,-0.12,0.5792,0.1,1.4686000000000001,0.5433,3.036,204.89%,476.86%,963.51%,0.1501,0.1109,14200000.0,1.54,22.44,-0.0981,21888189.0,55
VIR,Vir Biotechnology Inc,Healthcare,Biotechnology,USA,1040000000.0,,7.44,-0.0437,1904468.0,-0.0159,0.27399999999999997,0.2589,0.4675,0.23379999999999998,-0.31739999999999996,-75.88%,-83.24%,-,0.055099999999999996,0.069,1790000.0,1.06,7.44,-0.0437,1904468.0,55
NVRI,Enviri Corp,Industrials,Waste Management,USA,1530000000.0,,18.92,-0.0037,835930.0,0.0048,0.051100000000000007,0.4863,1.1022,0.0558,1.0192,149.28%,5.23%,214.81%,0.021099999999999997,0.0184,1810000.0,0.46,18.92,-0.0037,835930.0,55
TRN,"Trinity Industries, Inc",Industrials,Railroads,USA,2300000000.0,25.08,28.74,0.0014000000000000002,2435563.0,0.0633,0.0672,0.0327,0.2335,0.087,-0.2379,2.79%,0.56%,98.25%,0.0274,0.0287,725710.0,3.36,28.74,0.0014000000000000002,2435563.0,55
PRAX,Praxis Precision Medicines Inc,Healthcare,Biotechnology,USA,8610000000.0,,314.0,-0.0009,668815.0,0.0073,0.0572,0.604,4.7912,0.0653,3.2420999999999998,349.21%,-63.17%,-,0.0556,0.061399999999999996,794050.0,0.84,314.0,-0.0009,668815.0,55
RCAT,Red Cat Holdings Inc,Industrials,Aerospace & Defense,USA,1610000000.0,,13.5,-0.0958,10755162.0,-0.1594,0.733,0.1863,0.6304,0.7023999999999999,0.4439,1025.00%,132.76%,-99.82%,0.1326,0.1283,10590000.0,1.02,13.5,-0.0958,10755162.0,55
CDP,COPT Defense Properties,Real Estate,REIT - Office,USA,6960000000.0,23.36,30.81,0.0199,1935165.0,0.0059,0.0891,0.1208,0.1294,0.10830000000000001,0.0758,9.68%,15.78%,45.95%,0.0217,0.0226,1040000.0,1.86,30.81,0.0199,1935165.0,54
CMC,Commercial Metals Co,Basic Materials,Steel,USA,8529999999.999999,19.81,76.87,-0.013999999999999999,1528331.0,-0.0084,0.09970000000000001,0.2595,0.48229999999999995,0.1105,0.5402,44.47%,262.08%,483.23%,0.033,0.0315,1100000.0,1.39,76.87,-0.013999999999999999,1528331.0,54
